partition,simulator_id,prospective_cluster_count,control_response_lambda,delta,addresses,macro_mean_gate_passage_probability,minimum_address_probability,median_address_probability,maximum_address_probability
confirmation,joint_wild_cluster_rademacher,5,0.0,1.5,6,0.12816666666666665,0.0,0.012,0.565
confirmation,joint_wild_cluster_rademacher,5,0.0,2.0,6,0.13899999999999998,0.0,0.0185,0.625
confirmation,joint_wild_cluster_rademacher,5,0.25,0.25,6,0.01933333333333333,0.0,0.0035,0.073
confirmation,joint_wild_cluster_rademacher,5,0.25,0.5,6,0.057666666666666665,0.0,0.012,0.176
confirmation,joint_wild_cluster_rademacher,5,0.25,0.75,6,0.08700000000000001,0.0,0.0155,0.309
confirmation,joint_wild_cluster_rademacher,5,0.25,1.0,6,0.11033333333333332,0.0,0.0165,0.417
confirmation,joint_wild_cluster_rademacher,5,0.25,1.5,6,0.13333333333333333,0.0,0.0115,0.573
confirmation,joint_wild_cluster_rademacher,5,0.25,2.0,6,0.13666666666666666,0.0,0.0155,0.594
confirmation,joint_wild_cluster_rademacher,5,0.5,0.25,6,0.017833333333333333,0.0,0.007,0.057
confirmation,joint_wild_cluster_rademacher,5,0.5,0.5,6,0.050333333333333334,0.0,0.008,0.158
confirmation,joint_wild_cluster_rademacher,5,0.5,0.75,6,0.08316666666666667,0.0,0.0215,0.315
confirmation,joint_wild_cluster_rademacher,5,0.5,1.0,6,0.09966666666666668,0.0,0.0135,0.401
confirmation,joint_wild_cluster_rademacher,5,0.5,1.5,6,0.11983333333333333,0.0,0.012,0.522
confirmation,joint_wild_cluster_rademacher,5,0.5,2.0,6,0.12633333333333333,0.0,0.015,0.555
confirmation,joint_wild_cluster_rademacher,5,1.0,0.25,6,0.0135,0.0,0.002,0.041
confirmation,joint_wild_cluster_rademacher,5,1.0,0.5,6,0.03416666666666667,0.0,0.004,0.136
confirmation,joint_wild_cluster_rademacher,5,1.0,0.75,6,0.042333333333333334,0.0,0.004,0.176
confirmation,joint_wild_cluster_rademacher,5,1.0,1.0,6,0.043166666666666666,0.0,0.0045000000000000005,0.2
