artifact_label,artifact_path,column_position,column_name,normalized_column,dtype,rows_read,non_null_rows,non_null_share,unique_non_null,uniqueness_share,candidate_roles,sample_values
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,0,path_id,path_id,str,30000,30000,1.0,15000,0.5,route_id,P37257 | P40293 | P26398
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,81,pn_dew_angle_deg_max,pn_dew_angle_deg_max,float64,30000,30000,1.0,3,0.0001,,59.99999999999999 | 59.99999999999999 | -120.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,82,pn_dew_angle_deg_median,pn_dew_angle_deg_median,float64,30000,30000,1.0,6,0.0002,,59.99999999999999 | -120.0 | -120.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,83,pn_dew_angle_deg_sum,pn_dew_angle_deg_sum,float64,30000,30000,1.0,99,0.0033,,59.99999999999998 | -420.0 | -1320.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,84,pn_dew_angle_deg_last_minus_first,pn_dew_angle_deg_last_minus_first,float64,30000,29838,0.9946,5,0.0001675715530531537,,0.0 | 0.0 | 0.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,85,pn_path_angle_jump_deg_mean,pn_path_angle_jump_deg_mean,float64,30000,29838,0.9946,219,0.007339634023728132,,120.0 | 72.0 | 0.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,86,pn_path_angle_jump_deg_std,pn_path_angle_jump_deg_std,float64,30000,28219,0.9406333333333333,191,0.006768489315709274,,103.92304845413264 | 92.951600308978 | 0.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,87,pn_path_angle_jump_deg_min,pn_path_angle_jump_deg_min,float64,30000,29838,0.9946,5,0.0001675715530531537,,0.0 | 0.0 | 0.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,88,pn_path_angle_jump_deg_max,pn_path_angle_jump_deg_max,float64,30000,29838,0.9946,5,0.0001675715530531537,,180.0 | 180.0 | 0.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,89,pn_path_angle_jump_deg_median,pn_path_angle_jump_deg_median,float64,30000,29838,0.9946,11,0.00036865741671693813,,180.0 | 0.0 | 0.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,90,pn_path_angle_jump_deg_sum,pn_path_angle_jump_deg_sum,float64,30000,29838,0.9946,36,0.0012065151819827067,,360.0 | 720.0 | 0.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,91,pn_path_angle_jump_deg_last_minus_first,pn_path_angle_jump_deg_last_minus_first,float64,30000,28219,0.9406333333333333,13,0.0004606825188702647,,-180.0 | -180.0 | 0.0
