artifact_label,artifact_path,suffix,priority_match,size_bytes,size_mb,sha256,rows_read,column_count,read_status,read_error
obs079c_confusion_matrices,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_confusion_matrices.csv,.csv,True,463222,0.441763,e47b36ff1b7a4a91a706e491bc989aa9524419c740dfdf4f90775dcec63edeca,6048.0,13,ok,
obs079c_failures,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_failures.csv,.csv,True,1,1e-06,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0.0,0,empty_csv,
obs079c_feature_importance,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_feature_importance.csv,.csv,True,297217,0.283448,ad985a0511aa5353926c9eda5f956bb828dbcb50c5ead46aa77c08c116a7d51f,2160.0,13,ok,
obs079c_feature_panels,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_feature_panels.csv,.csv,True,517,0.000493,963583608c8dde71450708117a82c25e82df83e24080117bebed9650683d4eed,12.0,4,ok,
obs079c_input_manifest,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_input_manifest.csv,.csv,True,146,0.000139,3b160b0b39abe1f9e69c81661b22aa0c74715040d13f6dc2d00ae77d0967aa69,1.0,5,ok,
obs079c_pairwise_axis_summary,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_axis_summary.csv,.csv,True,1227,0.00117,40dff5c5385f9b1e864b332abec73310b6f447d92e12a70e604a12d8a84a4d2f,12.0,8,ok,
obs079c_pairwise_permutation_scores,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_permutation_scores.csv,.csv,True,1363672,1.300499,63604f5965926c06476ebf0c0fab09da79d684c964973d852f41c6eb6f762c31,12600.0,8,ok,
obs079c_pairwise_permutation_summary,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_permutation_summary.csv,.csv,True,7307,0.006968,9687e2e8a9ce3fe53097942a965a89a595cd46f617707f298004b094ccddf3bd,63.0,9,ok,
obs079c_pairwise_predictions,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,.csv,True,3910134,3.728994,9956be0583256642827694e9694a8ba1f1c97616fc2cc6d132505be90ad823fc,37632.0,12,ok,
obs079c_pairwise_scheme_summary,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_scheme_summary.csv,.csv,True,108201,0.103189,2209711ede100fd9d1a071ec355cac9c60da9eaf043f6b70d0e1a30bf582526f,672.0,13,ok,
obs079c_pairwise_scores,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_scores.csv,.csv,True,319277,0.304486,a181d5826cc667f4dee4867c41523a03fbd99651130d13812cacf0b431d2fef6,1680.0,20,ok,
obs079c_report,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_report.md,.md,True,73469,0.070065,20e5649a6ea446750ec0420d1ecaa935e4f9e26eead24e9239e79e40590bccd1,,0,exists_non_tabular,
obs079c_validation_groups,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_validation_groups.csv,.csv,True,3786,0.003611,7c34755669f56ad25ac507d34805e4957729c10ba8012ee0d25d4a5086d59769,60.0,7,ok,
obs080a_confusion_matrices,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_confusion_matrices.csv,.csv,True,808138,0.7707,2ca964e4464d5f75607cb81857f825e9b7b202897d76b8a500647053b9068ecb,11760.0,8,ok,
obs080a_failures,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_failures.csv,.csv,True,1,1e-06,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,0.0,0,empty_csv,
obs080a_input_manifest,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_input_manifest.csv,.csv,True,146,0.000139,3b160b0b39abe1f9e69c81661b22aa0c74715040d13f6dc2d00ae77d0967aa69,1.0,5,ok,
obs080a_pairwise_transform_summary,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_pairwise_transform_summary.csv,.csv,True,3111,0.002967,e72c5027ba65f496e3c471c4d78e0c54fef5f30c19036abd0a22a22d2310c2a8,21.0,9,ok,
obs080a_permutation_scores,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_permutation_scores.csv,.csv,True,1795594,1.712412,e12048b533983c4945b878e15c3ec64025cfd7fe6edb90bf6cb5c8e61c713da2,16800.0,8,ok,
obs080a_permutation_summary,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_permutation_summary.csv,.csv,True,9556,0.009113,a5fafb15d4e6a4894308a98fd6f843e62b8081847aca414ae8ed2b8caf105399,84.0,9,ok,
obs080a_report,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_report.md,.md,True,69449,0.066232,53e198e8ebb61cf91c09f648b97ea62630f4e7128db59948f6fd2d1a66f21203,,0,exists_non_tabular,
obs080a_transform_manifest,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_manifest.csv,.csv,True,3404,0.003246,a0774e10578029f699aa937332382b954eb7a0890023acbb6a31eb3846461732,21.0,9,ok,
obs080a_transform_predictions,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,.csv,True,5782339,5.514468,b3706215227eeb5b2d000ebeace34ece2a902d46c6ba1fc1841ba3b1986174ad,56448.0,12,ok,
obs080a_transform_scheme_summary,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_scheme_summary.csv,.csv,True,146848,0.140045,c0bac33a8d6721efdd1bfbacdff0ff78971b70d50c49a29def3950fccfc9e0e6,896.0,13,ok,
obs080a_transform_scores,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_scores.csv,.csv,True,573634,0.54706,9055ff725c8bbc76e8f9afd444210c66a58a3782fb42b4dc8640d230a0ccd389,2240.0,18,ok,
obs080a_transform_stability_matrix,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,.csv,True,4122,0.003931,1d3ad69d1c6c8c231c73ffce8cb295829d416cabea59fe222166f3c47b9d6a52,28.0,9,ok,
obs080a_transformed_feature_table,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transformed_feature_table.csv,.csv,True,326417,0.311296,ce27053f82d2a76f63e2a6ab4e859cc0234249cc9ed389e5650ef35a91c07b41,168.0,135,ok,
obs080a_validation_groups,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_validation_groups.csv,.csv,True,5146,0.004908,d684ba98f09f06c2f7eb939b31159b64d230020b0eb70e716bc507397a144452,80.0,7,ok,
obs080b_confusion_matrices,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_confusion_matrices.csv,.csv,True,805314,0.768007,09e8554aa1618b6861b15442c110c8ff4e812f8cce7c8d66923b75f3bf960cac,12260.0,8,ok,
obs080b_failures,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_failures.csv,.csv,True,10182,0.00971,45debb86d574b5574ddb2993a0edb6b230507cbbd9bb69ce546fb5627cf7c9b7,112.0,12,ok,
obs080b_input_manifest,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_input_manifest.csv,.csv,True,146,0.000139,99a91efcfe5fbbd80a91ff54d3dd3dd3f79016fd06d1b8f488b5a0b35f59a93f,1.0,5,ok,
obs080b_pairwise_scale_band_summary,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_pairwise_scale_band_summary.csv,.csv,True,3288,0.003136,e3e1bf0107d4c769ad83ed945fdec671939f77c512a95485ccc59f4998a18d96,27.0,9,ok,
obs080b_permutation_scores,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_permutation_scores.csv,.csv,True,2189684,2.088245,ab746770f6c7e8e5a3846b4551ec2847cb52c4994957c24294873e0b4da24b3f,21600.0,8,ok,
obs080b_permutation_summary,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_permutation_summary.csv,.csv,True,11649,0.011109,08821269435c5c40eab621cbb63720563919c29062eb0914acea0b2237bdf9d3,108.0,9,ok,
obs080b_report,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_report.md,.md,True,135809,0.129518,31d4905dabc92987a454d2173aee6e39086d2115e04fbd204aea333f32c12645,,0,exists_non_tabular,
obs080b_scale_band_manifest,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_manifest.csv,.csv,True,884,0.000843,e725acf1b413ac44faff3eba57b62e65de2525fe4eb244fad135fed2557fb452,10.0,14,ok,
obs080b_scale_band_predictions,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,.csv,True,4770214,4.549231,daaffddaca8dfe402348b889f627b25b30103fac4c94a7d2298181b4295c590b,43288.0,16,ok,
