source_role,field,dtype,unique_values,primary_field_role,allowed_as_predictor,allowed_for_matching,allowed_for_partitioning,manual_review_required
registry,scale_band_min_score,float64,4,forbidden_predictive_leakage,False,False,False,False
registry,scale_band_status,str,2,metadata_unresolved,False,True,False,True
registry,feature_family_n,int64,1,candidate_predictor,True,False,False,False
registry,feature_family_mean_score,float64,19,forbidden_predictive_leakage,False,False,False,False
registry,feature_family_min_score,float64,19,forbidden_predictive_leakage,False,False,False,False
registry,feature_family_status,str,2,metadata_unresolved,False,True,False,True
registry,structural_resampling_n,int64,1,candidate_predictor,True,False,False,False
registry,structural_resampling_mean_score,float64,20,forbidden_predictive_leakage,False,False,False,False
registry,structural_resampling_min_score,float64,20,forbidden_predictive_leakage,False,False,False,False
registry,structural_resampling_status,str,2,metadata_unresolved,False,True,False,True
registry,level_1_stability_core_ba,float64,4,candidate_predictor,True,False,False,False
registry,level_3_geometry_ba,float64,3,candidate_predictor,True,False,False,False
registry,level_4_paths_ba,float64,4,grouping_partition,False,True,True,False
registry,level_3_stability_plus_geometry_ba,float64,3,candidate_predictor,True,False,False,False
registry,level_5_no_window_ba,float64,4,grouping_partition,False,True,True,False
registry,level_5_strict_numeric_ba,float64,4,candidate_predictor,True,False,False,False
registry,obs080d_core_mean_ba,float64,4,candidate_predictor,True,False,False,False
registry,obs080d_core_min_ci95_low,float64,4,candidate_predictor,True,False,False,False
registry,obs080d_core_min_p_above_threshold,float64,3,candidate_predictor,True,False,False,False
obs083_subclasses,record_id,str,24,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,relation,str,4,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,carrier,str,6,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,obs081_rig_status,float64,0,candidate_predictor,True,False,False,False
obs083_subclasses,obs082_class,str,1,outcome_or_evaluation,False,False,False,False
obs083_subclasses,survival_score,float64,20,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,survival_score_source,str,1,provenance,False,True,False,False
obs083_subclasses,survival_evidence_available,bool,1,candidate_predictor,True,False,False,False
obs083_subclasses,relation_contrast_score,float64,14,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,carrier_contrast_score,float64,9,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,contract_contrast_score,float64,0,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,geometry_contrast_score,float64,3,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,permutation_contrast_score,float64,0,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,negative_control_strength_score,float64,19,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,negative_control_evidence_completeness,str,1,metadata_unresolved,False,True,False,True
obs083_subclasses,failure_localization_score,float64,1,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,primary_failure_locus,str,2,metadata_unresolved,False,True,False,True
obs083_subclasses,localization_confidence,str,1,metadata_unresolved,False,True,False,True
obs083_subclasses,localization_evidence_basis,str,1,metadata_unresolved,False,True,False,True
obs083_subclasses,obs082_diffuse_prior_flag,bool,1,candidate_predictor,True,False,False,False
obs083_subclasses,repair_specificity_level,str,1,metadata_unresolved,False,True,False,True
obs083_subclasses,repair_specificity_score,float64,1,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,candidate_metric_available,bool,1,candidate_predictor,True,False,False,False
obs083_subclasses,matched_negative_control_available_for_repair,bool,1,candidate_predictor,True,False,False,False
obs083_subclasses,c4_evidence_gate_passed,bool,1,candidate_predictor,True,False,False,False
obs083_subclasses,subclass,str,2,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,readiness_statement,str,1,forbidden_predictive_leakage,False,False,False,False
obs083_subclasses,primary_limiter,str,2,metadata_unresolved,False,True,False,True
obs083_subclasses,secondary_limiter,str,2,metadata_unresolved,False,True,False,True
obs083_subclasses,candidate_next_test_type,str,2,metadata_unresolved,False,True,False,True
obs083_subclasses,rationale,str,16,metadata_unresolved,False,True,False,True
obs083_subclasses,guardrail_note,str,1,metadata_unresolved,False,True,False,True
obs083_relation_controls,record_id,str,24,forbidden_predictive_leakage,False,False,False,False
obs083_relation_controls,relation,str,4,forbidden_predictive_leakage,False,False,False,False
obs083_relation_controls,carrier,str,6,forbidden_predictive_leakage,False,False,False,False
obs083_relation_controls,target_score_basis,float64,20,outcome_or_evaluation,False,False,False,False
obs083_relation_controls,target_score_source,str,1,outcome_or_evaluation,False,False,False,False
obs083_relation_controls,control_relation,str,4,forbidden_predictive_leakage,False,False,False,False
obs083_relation_controls,control_record_id,str,24,forbidden_predictive_leakage,False,False,False,False
obs083_relation_controls,control_score_basis,float64,20,candidate_predictor,True,False,False,False
obs083_relation_controls,control_score_source,str,1,provenance,False,True,False,False
obs083_relation_controls,relation_contrast_delta,float64,59,forbidden_predictive_leakage,False,False,False,False
obs083_relation_controls,relation_contrast_abs_delta,float64,30,forbidden_predictive_leakage,False,False,False,False
obs083_relation_controls,specificity_direction,str,3,metadata_unresolved,False,True,False,True
obs083_relation_controls,expected_direction,str,3,metadata_unresolved,False,True,False,True
obs083_relation_controls,contrast_support,str,3,metadata_unresolved,False,True,False,True
obs083_relation_controls,evidence_available,bool,1,candidate_predictor,True,False,False,False
obs083_relation_controls,interpretation,str,3,metadata_unresolved,False,True,False,True
