address_id,partition,failure_predicate,component_role,record_id,control_family,cluster_id,object_contrast,site_rows,complement_rows,center_offset,centered_baseline_contrast,native_injection_scale
aa0c3dea0cb178601665f0a3,confirmation,relation_separation_attenuation,control,C_vs_Cp3__path_shares_only,control,coupling_positive,,0,4,0.3276824951171875,1.1981479297595854e-07,0.25
aa0c3dea0cb178601665f0a3,confirmation,relation_separation_attenuation,control,C_vs_Cp3__path_shares_only,control,energy_ridge,,3,13,0.3276824951171875,1.1981479297595854e-07,0.25
aa0c3dea0cb178601665f0a3,confirmation,relation_separation_attenuation,control,C_vs_Cp3__path_shares_only,control,seam_proxy,-0.016163727849285325,12,11,0.3276824951171875,1.1981479297595854e-07,0.25
aa0c3dea0cb178601665f0a3,confirmation,relation_separation_attenuation,control,C_vs_Cp3__stability_core_3,control,coupling_negative,,2,9,0.6335906982421875,6.451247257510673e-07,0.25
aa0c3dea0cb178601665f0a3,confirmation,relation_separation_attenuation,control,C_vs_Cp3__stability_core_3,control,coupling_positive,,0,4,0.6335906982421875,6.451247257510673e-07,0.25
aa0c3dea0cb178601665f0a3,confirmation,relation_separation_attenuation,control,C_vs_Cp3__stability_core_3,control,energy_ridge,,3,13,0.6335906982421875,6.451247257510673e-07,0.25
aa0c3dea0cb178601665f0a3,confirmation,relation_separation_attenuation,control,C_vs_Cp3__stability_core_3,control,seam_proxy,0.01825925168108755,12,11,0.6335906982421875,6.451247257510673e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,target,Cp2_vs_Cp3__path_shares_only,target,density_core,,6,6,-0.0116424560546875,-3.388328864151191e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,target,Cp2_vs_Cp3__path_shares_only,target,frobenius_ridge,,6,18,-0.0116424560546875,-3.388328864151191e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,target,Cp2_vs_Cp3__path_shares_only,target,lazarus_concentration,,0,6,-0.0116424560546875,-3.388328864151191e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,target,Cp2_vs_Cp3__path_shares_only,target,response_ridge,,6,18,-0.0116424560546875,-3.388328864151191e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__geometry_scores_only,control,density_core,,6,6,1.1277618408203125,4.530383082013145e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__geometry_scores_only,control,frobenius_ridge,,6,18,1.1277618408203125,4.530383082013145e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__geometry_scores_only,control,lazarus_concentration,,0,6,1.1277618408203125,4.530383082013145e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__geometry_scores_only,control,response_ridge,,6,18,1.1277618408203125,4.530383082013145e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,density_core,,6,6,1.8028564453125,-3.683608846838382e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,frobenius_ridge,,6,18,1.8028564453125,-3.683608846838382e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,lazarus_concentration,,0,6,1.8028564453125,-3.683608846838382e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,response_ridge,,6,18,1.8028564453125,-3.683608846838382e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__stability_core_3,control,density_core,,6,6,-0.34521484375,7.056869099075769e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__stability_core_3,control,frobenius_ridge,,6,18,-0.34521484375,7.056869099075769e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__stability_core_3,control,lazarus_concentration,,0,6,-0.34521484375,7.056869099075769e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__stability_core_3,control,response_ridge,,6,18,-0.34521484375,7.056869099075769e-07,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__stability_plus_geometry,control,density_core,,6,6,0.7757415771484375,1.0704623254476076e-06,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__stability_plus_geometry,control,frobenius_ridge,,6,18,0.7757415771484375,1.0704623254476076e-06,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__stability_plus_geometry,control,lazarus_concentration,,0,6,0.7757415771484375,1.0704623254476076e-06,0.25
71a9a769187d88ddfc17abe2,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__stability_plus_geometry,control,response_ridge,,6,18,0.7757415771484375,1.0704623254476076e-06,0.25
71a9a769187d88ddfc17abe2,confirmation,relation_separation_attenuation,target,Cp2_vs_Cp3__path_shares_only,target,coupling_negative,,0,5,-0.009185791015625,-5.654532750920538e-07,0.25
71a9a769187d88ddfc17abe2,confirmation,relation_separation_attenuation,target,Cp2_vs_Cp3__path_shares_only,target,coupling_positive,,0,6,-0.009185791015625,-5.654532750920538e-07,0.25
71a9a769187d88ddfc17abe2,confirmation,relation_separation_attenuation,target,Cp2_vs_Cp3__path_shares_only,target,energy_ridge,,6,12,-0.009185791015625,-5.654532750920538e-07,0.25
71a9a769187d88ddfc17abe2,confirmation,relation_separation_attenuation,target,Cp2_vs_Cp3__path_shares_only,target,seam_proxy,,6,18,-0.009185791015625,-5.654532750920538e-07,0.25
71a9a769187d88ddfc17abe2,confirmation,relation_separation_attenuation,control,Cp2_vs_Cp3__geometry_scores_only,control,coupling_negative,,0,5,-1.4054718017578125,3.9211179481135616e-07,0.25
